index,init_x,init_y,init_z,target_x,target_y,target_z,init_distance,target_width_diameter,target_accuracy,movement_time,episode_successful,dist_to_target
221,0.550487695,0.075797472,0.064495637,0.55,0.087159399,0.032217306,0.034223119,0.01,0,0.09,TRUE,0.01365846
222,0.549557322,0.0813601,0.044575532,0.55,0.09702951,0.025368564,0.024791813,0.01,0,0.08,TRUE,0.01014311
223,0.549305378,0.089447465,0.032070265,0.55,0.106745073,0.026920249,0.018061351,0.01,0,0.07,TRUE,0.00884351
224,0.548882953,0.098106132,0.025394285,0.55,0.116033692,0.036610296,0.021176499,0.01,0,0.06,TRUE,0.0127091
225,0.547668659,0.10768751,0.027313667,0.55,0.123207095,0.052471671,0.029651608,0.01,0,0.08,TRUE,0.01715567
226,0.546610187,0.118614976,0.036293333,0.55,0.128113928,0.073826654,0.03886478,0.01,0,0.08,TRUE,0.02072023
227,0.547005011,0.127429726,0.053335444,0.55,0.12999092,0.098154925,0.044992395,0.01,0,0.08,TRUE,0.02234969
228,0.547059532,0.133767781,0.076323807,0.55,0.128509261,0.123348185,0.04740876,0.01,0,0.09,TRUE,0.02315346
229,0.547807779,0.136786509,0.101836238,0.55,0.123847109,0.145505177,0.045598357,0.01,0,0.11,TRUE,0.02093524
230,0.551155143,0.133702355,0.127070866,0.55,0.116568994,0.162523417,0.039392509,0.01,0,0.12,TRUE,0.01810943
231,0.554346823,0.125547014,0.147408799,0.55,0.107989941,0.172291114,0.030761588,0.01,0,0.21,TRUE,0.01369432
232,0.554087208,0.118070052,0.163971226,0.55,0.098427703,0.174896924,0.022845087,0.01,0,0.17,TRUE,0.0090993
233,0.548441732,0.106027007,0.170140913,0.55,0.089095457,0.169870011,0.017005263,0.01,0,0.16,TRUE,0.01088926
234,0.547406999,0.099163858,0.166632779,0.55,0.08034095,0.156652545,0.021462306,0.01,0,0.06,TRUE,0.01513918
235,0.548308173,0.093818047,0.163338387,0.55,0.074105107,0.137869392,0.032251078,0.01,0,0.07,TRUE,0.01797362
236,0.549800744,0.086011479,0.151332295,0.55,0.070476656,0.113316386,0.041067989,0.01,0,0.09,TRUE,0.02134704
237,0.54824,0.07714805,0.133517644,0.55,0.070351594,0.088551192,0.045511221,0.01,0,0.09,TRUE,0.02199688
238,0.547726352,0.06888493,0.110381041,0.55,0.073537248,0.064669173,0.046004222,0.01,0,0.09,TRUE,0.02090921
239,0.548037074,0.07134401,0.085370183,0.55,0.079653666,0.044884968,0.041375791,0.01,0,0.09,TRUE,0.01765838
240,0.550013628,0.075081455,0.06194114,0.55,0.088123783,0.031127134,0.033460506,0.01,0,0.09,TRUE,0.01436234
241,0.547537815,0.081097836,0.043409253,0.55,0.097561094,0.025248255,0.024635809,0.01,0,0.09,TRUE,0.01008826
242,0.547172241,0.088841265,0.029460308,0.55,0.107812796,0.027587975,0.019272281,0.01,0,0.07,TRUE,0.00971111
243,0.547868601,0.09863994,0.025217014,0.55,0.116501892,0.037365766,0.021706781,0.01,0,0.07,TRUE,0.01178199
244,0.547569965,0.109660854,0.028086201,0.55,0.124239825,0.055810715,0.03141815,0.01,0,0.08,TRUE,0.0175543
245,0.546549703,0.120847807,0.03893638,0.55,0.128734372,0.078445442,0.04043598,0.01,0,0.08,TRUE,0.02091575
246,0.546088425,0.129798979,0.057926311,0.55,0.129959353,0.103902867,0.046142928,0.01,0,0.08,TRUE,0.02368857
247,0.548680144,0.133365991,0.080497713,0.55,0.127952792,0.127230658,0.047063923,0.01,0,0.09,TRUE,0.02331626
